"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 25 18:29:21 EET 2023","Sat Feb 25 18:29:23 EET 2023","2013","","pytest","","tests.ten_tests.test_timed","","test_sleep_7",""
"passed","Sat Feb 25 18:29:21 EET 2023","Sat Feb 25 18:29:23 EET 2023","2004","","pytest","","tests.ten_tests.test_timed","","test_sleep_1",""
"passed","Sat Feb 25 18:29:21 EET 2023","Sat Feb 25 18:29:23 EET 2023","2004","","pytest","","tests.ten_tests.test_timed","","test_sleep_2",""
"passed","Sat Feb 25 18:29:21 EET 2023","Sat Feb 25 18:29:23 EET 2023","2004","","pytest","","tests.ten_tests.test_timed","","test_sleep_3",""
"passed","Sat Feb 25 18:29:21 EET 2023","Sat Feb 25 18:29:23 EET 2023","2004","","pytest","","tests.ten_tests.test_timed","","test_sleep_4",""
"passed","Sat Feb 25 18:29:21 EET 2023","Sat Feb 25 18:29:23 EET 2023","2012","","pytest","","tests.ten_tests.test_timed","","test_sleep_9",""
"passed","Sat Feb 25 18:29:21 EET 2023","Sat Feb 25 18:29:23 EET 2023","2004","","pytest","","tests.ten_tests.test_timed","","test_sleep_5",""
"passed","Sat Feb 25 18:29:21 EET 2023","Sat Feb 25 18:29:23 EET 2023","2012","","pytest","","tests.ten_tests.test_timed","","test_sleep_10",""
"passed","Sat Feb 25 18:29:21 EET 2023","Sat Feb 25 18:29:23 EET 2023","2003","","pytest","","tests.ten_tests.test_timed","","test_sleep_6",""
"passed","Sat Feb 25 18:29:21 EET 2023","Sat Feb 25 18:29:23 EET 2023","2013","","pytest","","tests.ten_tests.test_timed","","test_sleep_8",""
